short_question,short_answer
what are good treatments for rosacea at age 36,your first step is to avoid direct sun exposure alcohol or any other lifestyle factors that may irritate your skin and trigger rosacea outbreaks there is no cure for rosacea but with treatment you may be able to control the symptoms antibiotic pills and topical creams may treat symptoms topical tretinoin compounds and lasers may be used to control refractory rosacea i have had rosacea since my late 20s now in my late 30s here are the tips i have learned be religious about sunscreen if i have direct sunlight without sunscreen i will be red for hours experiment and learn which products work best to control your rosacea everyone is different but once you find stuff stick with it i have found that baby shampoo as a cleanser while a little drying does the best at controlling my rosacea of all things i have also found that larenim and pure minerals makeups actually help clear up my rosacea rather than causing more probelms most of the tips i would learned when i first got it was about knowing and avoiding triggers my triggers are sunlight exercise and alcohol
what does a 78 9 mean in a high density lipoprotein test result,these are very rare side effects in my opinion you need to check you testosterone level also this may be caused by depression or stress avoid alcohol and stress do regular exercisegood luck
botox is expensive and redoing it every few months adds up are there any that last a year and can help “turkey necks”,there are no treatments similar to botox that last longer botox does work very well in the right candidate to smooth neck bands but not for excess skin there are new radiofrequency and less invasive liposuction like devices that are coming in the next year or so that may work well for turkey necks but nothing beyond liposuction and plastic surgery for now
what is bipolar disorder,bipolar disorder is an illness that causes extreme mood changes from manic episodes of very high energy to the extreme lows of depression it is also called manic depressive disorder this illness can cause behavior so extreme that you cannot function at work in family or social situations or in relationships with others some people with bipolar disorder become suicidal having this disorder can make you feel helpless and hopeless but you are not alone talking with others who suffer from it may help you learn that there is hope for a better life and treatment can help you get back in control family members often feel helpless when a loved one is depressed or manic if your loved one has bipolar disorder you may want to get counseling for yourself therapy can also help a child who has a bipolar parent webmd medical reference from healthwise this information is not intended to replace the advice of a doctor healthwise disclaims any liability for the decisions you make based on this information © 1995 2011 healthwise incorporated healthwise healthwise for every health decision and the healthwise logo are trademarks of healthwise incorporated
i am 58 and have never had chickenpox my grand daughter may now have them do i have to be concerned for my health,in my opinion this would be allergic reaction to some type of food nothing seems worrisome
been on birth control for almost a year but i have been having pregnancy symptoms  i have been on loloestrinfe since last september and have not had a period since then which i believe is normal for that medication over the past few days i have been really constipated had cramps and when i have wiped there is been a little bit of light pink and i have no idea what it is my boyfriend and i have sex without condoms but i have never missed a pill a lot of times it is roughdeep sex and i have had cramping before from him hitting my cervix but i have never had the light pink symptom,hi these symptoms seem to be related to gross hormonal disturbances however migraine and headaches due to other reasons like gastritis need to be ruled out try taking antacids and vitamin supplements anti inflammatory analgesic tablets can be added if the pain is severe yoga and mediation can help breathing exercises will be helpful if there is no improvement in symptoms do consult a doctor thanks
i am trying to get help with my medical bills  i have hashimoto is disease and my medical bills are getting huge i only work 2 maybe 3 days a week since my left foot has turned in completely i have recently had my thyroid removed and i can not afford to buy anything,you might try contacting an organization like the patient advocate foundation to explore any possible options for getting help with your medical bills <link>
period is a week early 3 months in a row i know for sure im not pregnant should i be worried  i have been somewhat stressed and fatigued and i have started working out 3 4 times a week,to clarify i used to get my period every 28 days but for the last 3 months i have been getting my period every 21 days i have been somewhat stressed fatigued and started working out so hopefully these are reasons why but i am still concerned
after stopping my depo shot my first cylce was normal but i skipped one and now am spotting every three days  my last shot was in aug and my normal cycle was in nov i skipped one in dec and now i will spot for a few days and then stop for about three and then my cramps and spotting come back,also for me i wasent normal for more than a year thats very normal with depo i dont think its anything to worry about if your trying to have a baby it likely you wont be able to untill a year or so after getting of the shot i got prego with my son i year and 5 months after getting off the shot if you are trying its best to take an opk to see of your ovulating again <positive_smiley>
6 wks pregnant  was in mild car accident sore back is it safe to use a heating pad,hope you are alright you can try any simple pain releiving gel for local application and a hot water bag ensure everything else is ok take care
tear at vaginal opening due to a slip during intercourse during intercourse there was a bit of a slip as a result i now have about an inch long tear along one side of my vaginal opening i did not actually notice it until several minutes later when we were cleaning up it bled and is still bleeding very lightly i have kept it as clean as i can is there anything that i can put on it for the pain and speed the healing process like antiseptic spray tea tree oil vinegar anything else this makes walking sitting and urinating very painful,order 100 legit n safe medical marijuana pain relievers cbd oils dabs and more for more info text 505 807 7504 lisanblakeretailshop@gmail com medical marijuana is good for your health top medical strains for all patients suffering from depression glaucoma anxiety and tension headaches chronic pain and nausea mental and physical fatigue and for calming aromatherapy then you are in the right place to look in our meds all top grade aa+ with high level of cbd and thc contact for your supply and good health pain killers medical marijuana act lean *** no prescribtion is needed bud seeds harsh oils dabs & other m m treatments we also sefely and securely deliver all sorts of generic medication and syrup nationwide at very good prices no prescribtions needed legit verified and reputed plug available in the u s canada australia and the uk for more info text 505 807 7504 lisanblakeretailshop@gmail com thank you
my husband takes hctz and lisinopril for high blood pressure he had his wisdom teeth taken out can he take ibuprofen,yes he can take ibuprofen for short term pain while taking lisinopril and hctz there are no significant interactions with this combination the only concern would be that in the first few days after surgery some doctors suggest avoiding ibuprofen because of its potential to cause bleeding but after the first day or two it is usually fine talk to your dentist if you have concerns
what are the expected benefits of steroid injections,local steroid injections are generally well tolerated and are less likely than other forms of steroid medications to produce serious side effects before a joint is injected with a steroid joint fluid may be removed for testing testing the joint fluid is especially important if the diagnosis is uncertain steroid injections often reduce joint inflammation helping preserve joint structure and function steroid injections may help avoid the need for oral steroids or increased doses of oral steroids which could have greater side effects
i am a male and a girl gives me oral sex and i do not ejaculate will she get oral or genital herpes,hot flashes are a huge factor for women when they sleep uh i had one patient call them power surges where in the middle of the night she just had all of this heat and all of this energy and had a really tough time going back to bed believe it or not there are some interesting products on the market that are pretty cool for this there are these things called wicking pajamas now this is very similar to the dry fit or the things that you see the athletes wear but it actually works much the way a wick does so a wick in a candle actually pulls the wax up into the wick otherwise if you lit the wick it would just burn straight through the candle so these wicking pajamas are actually quite effective there are other things that you can do believe it or not there is a device out there a chillable pillow that you can use and there is an insert that you put into it and it allows for because remember you lose most of your heat through your head and that is where you feel a lot of your heat to again maintain sort of a constant temperature but if your hormones go kooky you are going to have a hot flash whether you like it or not the same process is done with these wicking pajamas is it pulls the sweat off of you then there is a second layer that is got a very large surface area and allows the sweat to evaporate so women are not waking up in soaking wet clothing being cold because what happens is they get this hot flash or power surge they begin to sweat to reduce that temperature and then all of a sudden their clothing is wet and they have already made their bedroom as cold as humanly possible and then they get the shakes or they get the shivers and they are not feeling so great
what should i do if i suspect an overdose of banophen,if overdose is suspected contact a poison control center or emergency room immediately us residents can call the us national poison hotline at 1 800 222 1222 canada residents can call a provincial poison control center symptoms of overdose may include severe drowsiness seizures widened pupils in children mentalmood changes such as restlessness irritability hallucinations may occur before drowsiness
ct scan shows issue with prostate,several medications may help fight knee pain and in some cases the inflammation that can cause joint swelling and discomfort they include acetaminophen tylenol this is the first medication to try as a knee oa osteoarthritis treatment say arthritis specialists that is because it is relatively safe compared to other pain relievers although too much can cause liver damage acetaminophen does not lessen inflammation nonsteroidal anti inflammatory drugs nsaids these can help relieve pain and fight inflammation that may be adding to your pain there are prescription nsaids your doctor can prescribe available over the counter ibuprofen advil motrin ib ketoprofen orudis kt and naproxen aleve are among your other options for pain relief other analgesics when other pain relievers fail to control pain your doctor may prescribe stronger analgesics these include tramadol ultram and acetaminophen with codeine tylenol with codeine
do i need to see my doctor about decreased appetite and nausea  for the last few weeks to a month i have noticed a marked decreased in my appetite i can only eat about half the amount of food i used to eat before i feel extremely full also every morning i have nausea that wont go away until i eat even though it makes food sound completely unappetizing a mild amount of bowel irritation has also come and gone a few times as well the only medication i take is 20mg antidepressant tablets citalopram hydrobromide could this be something serious,most helpful answer if they need or deserve kissing go for it while some studies have shown that herpes simplex type 1 fever blisters cold sores can potentially be spread when no active lesions are present this would certainly be less likely obviously kissing someone who has an active herpetic lesion especially if you have never had them would not be a good idea tens of millions of people in the united states have recurrent herpes simplex lesions on the lips from time to time it would be a shame if no one ever kissed them again
what should i know about osteoporosis,normally your bones are being rebuilt all the time first old bone is removed resorbed then a similar amount of new bone is formed this balanced process keeps your skeleton healthy and strong osteoporosis is a thinning and weakening of the bones it is common in women after menopause and may also occur in men in osteoporosis bone is removed faster than it is formed so overall bone mass is lost and bones become weaker therefore keeping bone mass is important to keep your bones healthy in both men and women osteoporosis may also be caused by certain medicines called corticosteroids at first osteoporosis usually has no symptoms but it can cause fractures broken bones fractures usually cause pain fractures of the bones of the spine may not be painful but over time they can make you shorter eventually your spine can curve and your body can become bent over fractures may happen during normal everyday activity such as lifting or from minor injury that would normally not cause bones to break fractures most often occur at the hip spine or wrist this can lead to pain severe disability or loss of ability to move around mobility
what is osteoporosis,osteoporosis is a disease that causes bones to become thinner thin bones can break easily most people think of their bones as being solid like a rock actually bone is living tissue just like other parts of the body such as your heart brain or skin bone just happens to be a harder type of tissue bone is always changing your body keeps your bones strong and healthy by replacing old bone with new bone osteoporosis causes the body to remove more bone than it replaces this means that bones get weaker weak bones are more likely to break osteoporosis is a bone disease that is quite common in women after menopause at first osteoporosis has no symptoms but people with osteoporosis may develop loss of height and are more likely to break fracture their bones especially the back spine wrist and hip bones eventually the spine becomes curved and the body becomes bent over osteoporosis can be prevented and with proper therapy it can be treated
can systemic candidiasis cause wart growth,the refractive errors of the affeced eye are getting worse i guess progressive myopia is a disease you should be concerned about and an opthalmologist should be performing a retina examination to look for any early changes of retinopathy the increased pain should indicate worsening of the present myopia
i suffered a severe concussion arm now paralyzed,in my opinion you need immediate hospital admission you can be having a haemorrhage in the right temporal lobe small hemorrage yes it will improve on its own but not 100  notice that you are experiencing pressure on brain nerve cells brain cells die permenantly so you need to save them once pressure is resolved cells that did not die will regain function also physical therapy will be necessary to regain most of the function please take it seriouslygood luck
how can i decrease the risk of developing prostate cancer,there are several things that you can do to reduce your risk for developing prostate cancer one of them is maintain a normal healthy lifestyle excess obesity has been associated with increased risk for prostate cancer problems with inflammation or recurrent irritation also increase your risk for prostate cancer as well as excess testosterone placement today there are a lot of problems treated with testosterone for problems that really are not low testosterone and we need to be careful because too much testosterone for the wrong reasons can stimulate prostate cancer
i have joint pain and muscle spasms since 2011 now developed numbness in legs,hi you take a pregnancy test when you miss your next period but you took plan b 2 days to late for it to have worked but to have got pregnant you would have needed to have had unprotected sex 4 days before your ovulation date it takes male sperm 3 days to reach the right place and your egg is only there for one day somehow in you got pregnant it would be a miracle all you can do is wait but all those extra hormone from plan b mat throw out your cycle hope this helps you good luck
iv inserted in jugular vein is causing vision problems and pain in back of head,in my opinion you got an infection or a simple allergic reaction that caused eustachian tube dysfunction if your symptoms are worsning then it is probably allergy since i suppose you are already on antibiotics do you were lenses i really can not prescribe any treatment as it may interfer with your current kidney condition i recommend you take your doctor opinion good luck
what causes colorectal cancer,pre existing colon disease like crohn is regional ileitis etc genetic diet fat and meat cholecystectomy polyps
i have growth on my scalp getting bigger,if it was a common brown tick often seen on dogs you are likely fine as long as you washed your hands a deer tick smaller can cause lyme disease if the tick actually bit you and attached but no if you just picked it up from the floor yes there is a high yuck factor but the chance of you picking up a illness from this act would be remote
i have been sick for 6 weeks with what the doctors say is a viral infection but i am getting worse not better normal  it started with normal cold like symptoms which was ok i made it through about two weeks of that just fine and was getting better i was late picking up my narcolepsy medications aderrall and went through about 3 days of withdrawal which i am sure made my immune system crash i got my medication back but became seriously ill with what the doctors told me was a sinus infection i concur severe sinus pressure hacking wet cough dyspnea    to be continued,i am sick with all of the symptoms you describe in your post i am going into week 6 what happened with your illness in 2014
tampon painirritation i am a 20 year old woman who just recently had penetrative sex for the first time it was with a toy but it was washed before and after i noticed itching in my vagina a few days after the sex i was on my period however and using pads when the pads stopped so did the itching it is been about 5 months and i have been unable to use tampons comfortably since they either itch burn or i can tell that they are in  is it possible that this is related to my sexual intercourse,i do not think the 2 ailmants are related glad you got some relief for you rib pain keep doing the peppermint thing now go to the doctor for the urinary issue you have the classic symptoms of a urinary tract infection only antibiotics can help with that you do not need to go to the er unless it is your only option your regular physician or an urgent care facility can treat that easily you will need to give a urine sample so make sure you drink lots of water before going
i still do not understand the procedure of getting health insurance is there an easier method,go to healthcare gov and to the following part of the website to get personlized assistance <link>
will i be able to save on my health insurance premiums i currently pay blue cross & blue shield of florida  can i switch to a new plan with the same coverage i have now with blue cross & blue shield of florida since i am eligible for medicare in august 2014 and you can not get the new plans until january 2014,by the way your problem is related to your eye muscles not your eye it self do not get worried
are there pain medications available that do not make you constipated,chlamydia can live in the throat the vagina the anus or the inside of the penis so it is the location that called infection it was the infection in the location that caused the problem having unprotected sex in any body orifice puts the person at risk for an std as you may know not all stds are obvious to the person who has them so unless they are specifically tested and properly quite frequently they can acquire an unwanted gift like chlamydia recreational sex is risky if you do not practice safe sex chlamydia is not the only std out there but at least it is one that can be treated and cured some of the others not so much
was having a bad bout of ocd obsessive compulsive disorder felt a weird sensation in my head,not a siezure or something its just a transient thought disturbance that tends to occur in ocd people if it happens again and again then you need to consult a neurologist
kenalog injetions during facelift to preemt scaring will not hold stitchs plastic surgeon injected kenalog during my facelift to preempt scaring tendency i am one month post op he has restitched two ares twice the second time with deep stitches too the stitches will not hold now he syas there is too much tension and we must let heal naturally there has been no healing in one month in these areas and there are a nickel and a two inch long hole behind my ears the front looks fine thank goodness has anyone heard of injecting kenalog during surgery,well petechies and bruising of the skin of thighs can be due to a number of causes like deficiency of clotting factors thrombocytopenia von willebrands disease etc consult a hematologist and get evaluated and a thorough clinical evaluation and investigation like bleeding and clotting time anti platelet antibody levels vitamin k clotting factors etc all needs to be checked treatment can be done accordingly hope this helps regards
are you contagious after a fever breaks,the presence or absence of a fever does not have anything to do with whether you are contagious or not a fever is usually caused by the body trying to fight something off but there may be active virus or whatever the disease is caused by in the body after it is over a lot depends on what the disease is exactly too
is it possible to overdose on high blood presure meds,raisins are high in iron and they are good for the heart in an indirect nutritional way assuming your father has a good balanced diet and other reasons for his low iron levels have been investigated he can have a healthy handful every day if he would like
are there vaccines available to prevent poison ivy,the actual minimal number of calories that you can safely eat long term depends on your basal metabolic rate bmr which is the energy necessary for your body and its organs to maintain normal function while simply at rest although there are equations to calculate bmr such as the harris benedict equation these are all theoretical estimations and your actual number could vary there are other more accurate methods to calculate your bmr through either direct or indirect calorimetry techniques that usually measure gas exchange between oxygen consumption and co2 production you could do an internet search to find test facilities near you for these methods if you are genuinely curious otherwise the bmr equations might give you a good enough estimate you are correct in stating that 1 200 calories is typically the conventional lower threshold value given and i think that it is fair to use as an estimate for most of the general population again your actual number will vary by far however 800 calories per day would be considered a very low calorie diet vlcd because it would be very hard to meet your nutritional needs with so few calories this type of diet would generally not be recommended for individuals who are not obese and who do not have proper medical supervision your doctor will take your specific circumstances into consideration before helping you decide if you should go on a vlcd and you may need to work with a dietitian to develop a specific eating plan to help ensure that you meet your nutrient needs while following the diet it is important to note that although vlcds have been shown to lower weight and help with obesity related conditions like hypertension diabetes or high cholesterol in obese individuals they do not seem to be any more effective than a more modest dietary eating plan long term you will likely regain any weight loss after going off the vlcd unless you transition into a healthy eating plan while incorporating regular exercise which is another aspect of why medical supervision from your doctor or a dietitian would be essential
i have shingles and was with my daughter who just found out she is pregnant is there a danger to the fetus,there is really not much point in washing your face before exercise you need to cleanse your skin after exercising and sweating in order to make sure you do not develop blocked pores or possible fungal infections of the skin interestingly it is equally important to thoroughly dry your skin after exercising fungal infections such as  jock itch  can arise if the skin stays damp so be sure to towel off thoroughly and perhaps apply powder if you can not get completely dry ps women can get jock itch  too hope this helps
what stage is cirrhosis of the liver when the person becomes delusional  we just found out my son in law has cirrhosis of the liver he is currently in the hospital and the doctors are running test they will do a biopsy on monday if he does not have a fever he is currently having periods of being delusional thinking various things are happening when nothing is going on our daughter said this morning that he told the nurses rats where running along the floor,hi have good read of this link its all home remedies as you will read some of these women have had real bad yeast infections so you you should find help <link> just copy this link into google to open and read i do hope this helps you good luck
i am about 5 weeks pregnant and i am experiencing menstrual like cramping could i be miscarrying  a few days ago i experienced very very light old blood but nothing since i am very stressed could this just be the problem i was also sick that day with flu like symptoms like i was very dizzy and nauseaed should i just go and see a doctor to see whats up,first i want to say go to the doctor it will put your mind at ease if nothing else and reducing your stress is priority 1 there is some cramping associated with a healthy pregnancy though your uterus is stretching alot it is can be a bit uncomfortable  so do not worry too much just tell the doctor what you wrote here and in the meanwhile stay calm it is the healthiest thing you can do in this situation
is tylenol safe to use for “flu” symptoms caused by interferon for hepatitis c treatment is motrin safer,tylenol acetaminophen is toxic to the liver in large doses such as in suicidal attempts where a patient ingests large amounts often more than 10 grams of the medication and also in situations where a patient drinks alcohol heavily while taking high doses of tylenol tylenol with alcohol ingestion can be toxic to the liver with lower doses of tylenol than without the alcohol otherwise for the general population both tylenol and motrin ibuprofen an nsaids have low 1 liver toxicity at the regular recommended doses moreover both drugs can usually be used in the recommended doses prescribed by a physician reasonably safely for the flu symptoms caused by interferon used for treating chronic hepatitis c with advanced complicated cirrhosis from hepatitis c for which interferon is rarely used all drugs including these must be prescribed with great caution if at all in addition in these patients with advanced cirrhosis nsaids including motrin can worsen or even precipitate hepatorenal syndrome a serious condition with both liver and kidney failure and possibly cause intestinal bleeding
can a woman with untreated bacterial vaginosis gets chlamydia or gonorrhea even with one and clean sexual partner,viracept is not a cure for hiv infection or aids people taking viracept may still develop opportunistic infections or other conditions associated with hiv infection some of these conditions are pneumonia herpes virus infections mycobacterium avium complex mac infections and kaposi is sarcoma
does taking contraceptive pills before and after sex avoid pregnancy,i am sorry to hear you are going through this osteomyelitis is no fun that is for sure the only way you will find out the answer to your question is to ask somnolence sleepiness is one of the main side effects of opioid pain relievers like morphine and oxycodone often the first treatment for excessive somnolence in opioid users is to reduce the dosage if that is impossible in your case then your doctor may consider prescribing something to offset the drowsiness if you are experiencing severe sleepiness due to opioid use you need to be extremely careful about driving cooking for example using knives or a food processor operating machinery or any tasks that require keen awareness you also need to make sure you are not so highly medicated that your breathing slows or stops regularly check your lips to make sure they do not have a bluish tint around the edges and make sure your finger nailbeds stay pink as well if you see any bluishness around your mouth or in your nailbeds you should contact your doctor right away as these can be signs of an accidental opioid overdose i just want to add that your pain should not keep you bedridden  you should do everything you can to stay active whether this means using crutches a cane or even a wheelchair but do not stay in bed because then you are putting yourself at risk for a blood clot and you do not need that on top of everything else good luck to you
can you spread a uti sexually  i do all the right things to prevent uti is exdrink plenty of water go to the bathroom after sex wipe front to back is it possible to get it from my husband,most helpful answer it would be very unlikely that your husband has a uti that is being passed to you but sexual activity alone can lead to urinary problems including infections the mechanics of vaginal intercourse often spreads bacteria that has colonized in the neighborhood not all urinary burning is a uti some are just cystitis irritation of the urinary opening women who do get infections associated with sexual activity frequently can be prescribed an post coital antibiotic by their medical provider
my internist has me on 50 000 iu of vitamin d per week would you know of any reason to prescribe this amount,this is a common dosage for vitamin d when your blood levels show that you are deficient this amount is available by prescription only since it is much higher than any over the counter versions so your body can absorb it and help maintain a consistent level you should have a follow up appointment with your physician for additional blood work to see what your levels are after taking the medication for a few weeks if you are unsure of what a medication may be used for talk to your pharmacist after all we are the medication experts
female 47 yrs red scaly rash on my neck for several months tinea barbarae was dx by dr did not cure cause cure  dr prescribed clotrimazole and betamethasone diproplonate cream this did not cure the problem at all did not even relieve the situation over the counter lotions seem to make the rash worse i need to know the cause the and cure thank you,i am sorry you are going through this and that the medications did not give you any relief when symtpoms persist after treatment it is always a good idea to return to the doctor to update him or her and get reevaluated i would suggest you do just that tinea barbae is a type of folliculitis which is an inflammation of the hair follicle the part of the hair that is embedded in your skin caused by an infection tinea barbae is caused by a fungus which is why your health care provider prescribed an anti fungal cream clotrimazole to treat it however since that did not work it is time to get the rash re checked i would suggest you also share with your doctor that over the counter lotions and creams made the rash worse if possible tell him or her specifically which items you used that may help get you a better diagnosis good luck to you
fishy smelling penis ever since i started having sex with my current gf i notice a really bad smell from my penis there is no rash or sores or anything so i do not think it is an std but what could it be how can i get rid of it,its probably your current girlfriend is vaginal area that is emitting the fishy odor force her to take more frequent showersbaths that should definitely solve your fishy smelling penis problem
chances of being pregnant after having unprotected sex within the 10th 12th week of being on the depo shot  i first started getting the depo shot august of last year i received a shot on september 5th within the 10th and 12th week on that shot i had unprotected sex multiple times then i received the shot on november 28th recently i have been very tired all of the time i have been sleeping half of my day awake yesterday i woke up with a sharp pain in my lower abdomen that went away after a few minutes but felt severe i know there have been many women pregnant on the depo before,actually it has been found that substance abuse is a way for a person with bipolar disorder to self medicate themselves as a way of coping with this disorder most of the rest of what the other person is answer is pretty accurate however the migraine is thyroid issues and such are all side effects from the medications that are used to treat bipolar disorder another side effect is called tardive dyskinesia which causes the person to have uncontrollable muscle spasms and there is no cure as of yet for this horrible side effect i have ba in psychology and also have bipolar disorder and am a recovered drug addict
what does egfr indicate is 52 something to worry about  recently had a comprehensive metabolic blood panel included creatinine 1 07 which was indicated to be high included egfr 52 which was indicated to be low there is kidney disease in my family and i am wondering if these two tests are related and if they indicate a beginning of kidney disease if so what should i do about it can these values be changed via the diet my age is 71 i also have high blood pressure my bun was 24 and the buncreatinine ratio is 22 thank you for your help,there has to be a reason for the cholesterol to be high a vegetarian diet can be one of eating absolutely no dairy or animal meat products or one of just avoiding meats if you are a true vegetarian and eat no dairy or animal products you will have to look at your source of fats and protein are you using any fats that are not healthy fats such as hydrogenated oils or oils that form trans fats when digested if you find the source of the cholesterol you can eliminate your problem your body cannot make bad cholesterol if you do not supply it with the ingredients to do so try limiting your fats to only a good nut fat such as almond and or a good seed like flax or sunflower for a month and see what your results are another thing you say you are eating whole grain only is this processed grain try eating unprocessed grains or less processed grains than products made from highly processed flours or try a product made from a non grain seeds such as millet flour the more a grain is processed the more good parts of it are destroyed or reduced leaving you with a starch that will undoubtedly ferment while digesting how many processed foods do you eat is your vegetarian diet from fresh fruits and veggies or is it from “canned” or processed foods laden with salts and unlabeled fats 3rdly and last what is the ph status of your blood most diets consist of highly acidic causing foods which causes your body to store excess acid in the fats of your body you say you are overweight this could be a major reason since even though you are “vegetarian” you are still overweight get a few ph strips or paper and check your first urine in the morning if it is under 7 0 on the ph scale this may be part of the problem genetics can play a role also but i really think this is more of a crutch for most people i was told i would be on my cholesterol meds for the rest of my life as my whole family had high blood pressure and high cholesterol i changed my lifestyle of eating and am now off all my meds with a total cholesterol of 145 by doing so i am diabetic also and have been able to eliminate all my meds i follow a lifestyle of eating called the ph “diet” you ought to look into it to see if it can help you too just google it and read about it it is a sort of vegetarian diet but just a little different there are several good books on the ph diet out there some a little more radicle and hard to follow but most with a common sense attitude of diet one can follow one thing you have to want something bad enough to make it happen good luck
how much salt does a person need,i do not know your age or if people in your family get grey or white hair but this could be a normal age related change i do not think that it would likely be due to your stress i do not know if it will turn your normal color again i suspect that this will likely be permanent if you do not like this distinguishing change you can put some hair dye on them if there are only a few you can pull out the white ones but there is not guarantee that new white ones will grow in its place
what can cause a 10 year old boy is head of hair to change from black to reddish brown in a matter of hours  my 10 year old was playing in the back yard but then started having a slight headache when he came inside i notice his hair on one side was changing in color from black to light brown i also notice he had what looked like 2 mosquito bites on his arms he had no temperature but was feeling a bit fatigued but we went on to basketball practice none the less by the end of the evening his entire head of hair was now the color reddish brown,i would suggest you to first of all go for an x ray and then you can decide how to proceed for now you can take pain relievers muscle relaxant and do cool packs on the painful area you can wear orthotics in your shoes to support and relieve pain avoid exerting too much and loose weight if you are over weight hope this helps
i have burning sensations on my chest and whole body had false diagnosis need second opinion,in my opinion you are suffering from anxiety and stress plus or minus allergic reaction yoga and meditation drink plenty of water healthy dieting increase fruits and vegetables intake
female age 5 diagnosed with normocytic anemia what can cause this,i suspect early iron deficiency anemia i recommend you to do serum iron total iron binding capacity tibc and serum ferritinhigh levels of wbcs due to tonsillitis take the suitable antibioticshigh platelets have no explanation in the mean time but doing a follow up cbc afterva month would be useful
my children have got measles,no your daughter got it from some other person exposed recently in the last month or so you are not contagious 32 years after having mono
lost 50lbs since 412 injured my back and had surgery in 912 and probably again in 1212 how do i keep the weight off  started nutrisystem 412  had my gallbladder removed 612  quit smoking on 712  912 i got a shooting pain down my legs and soon after went numb between my legs i had emergency surgery and am still in a lot of pain might need a spinal fusion but insurance is fighting it  how can i continue to lose weight when i am unable to exercise i tried to do all of the right things to get healthy and am having no luck any suggestions  thanks  carrie,viral orchitis ain relievers ice packs and elevation of the testicles when possible can make you more comfortable abstain from sexual intercourse and heavy lifting while you treat orchitis it is self limitedit could be bacterial infection that may need antibiotics but just wait and seealso i would prefer to do urine analysis and physical examination for prostatic enlargment if possible by your pcpus of testis is imp to rule out torsion but i believe its just viral orchitis… ￼
what are some suggestions for moving on after a relationship ends,moving on from a relationship is extremely difficult especially when you still love the person while keeping yourself busy and time are very helpful in moving on they are not the only things you need to do you must find things that you can invest yourself in   find things that matter to you without this the keeping busy will only provide very temporary relief  in talking yourself through this imagine that the old you is a friend think about what you were going through at the time and bring back how it all felt then talk to that old you as you would talk to a friend give her understanding cry with her let her know that she is more than her actions at that time that you can understand why she acted as she did and that she is still a good person and lovable    that is how you would feel toward and respond to a friend right this will take time to work through but with effort persistence and a caring feeling toward yourself you can slowly help yourself heal if all of this feels too hard to do and you do not have a trusted friend who can help you through this then you might consider finding a therapist to help
why am i not menstruating  i am 19 years old and i have not had a period in 6 months i can 100 guarantee i am not pregnant i am not overweight i do not exercise really intensely and i do not really have anything to seriously stress about i moved back in january but i have had a period since then so i do not think stress from that is the problem i have chronic constipation which may or may not be ibs could that be what is causing this i want to make sure before i go get looked at and told that is what it is,recurring respiratory infections and stomach infections are indicative of compromised or low immunity he is at an early age and the immunity can be improved by giving him appropriate diets that should be a blend of green vegetables fruits eggs nuts meat milk while grains legumes etc multivitamin supplements can help make him drink sufficient water and also take sufficient sleep make him play outdoors and be physically active hope this helps regards
why would feces be green colored,gastric juices in the stomach are bright yellow in most cases so a rapid transport of this fluid along with food can result in greenish stools this is very common in babies who often have a bowel movement as you are feeding them very rapid transport  other causes i do not know the age of this person include various green vegetables green stools are not considered a sign of anything bad
does a migraine always include pain or can you just have light sensitivity,have you had them checked spurs could do that to your feet also
can shingles rash not have blisters my boyfriend has had shingles before but this rash he has is very large from his groin to all the way down his inner thigh on one side it is red and blotchy on the outside of the rash but the red blotches on the inside are very light no blisters and apparently has had this rash for over 6 months,if you have been on blood pressure medication for two years and the cold feet are a new symptom then it is unlikely your medication is the cause however any new symptom is a good reason to visit your health care provider and get checked out low blood pressure can cause cold hands and feet but it is relatively uncommon more often cold feet are caused by poor circulation this in turn can be caused by many other things such as diabetes peripheral vascular disease or even raynaud is phenomenon your best bet is to see your health care provider to discover what is causing your cold feet after a physical exam your provider might order a few more tests to get to the bottom of this    and help get your feet warm again
can rapid weight loss actually be causing me to have higher blood pressure  my bicycle is my main transportation i live in az and i ride an avg of 8 miles a day and have lost over 50 lbs in the last 10 wks i have been overweight all my life and always had high blood pressure my blood pressure has been lower than it has been in over 20 yrs until about 2 3 wks ago it is trending back up with no dietary change or decrease in exercise can dehydration or not enough cool down time from physical activity be to blame,i cannot find any evidence showing that rapid weight loss causes blood pressure to rise in general weight loss typically helps to reduce blood pressure it is important to remember that other factors can affect blood pressure such as genetics age stress and certain medical conditions i suggest making an appointment with your healthcare provider to help you figure it out its unlikely that dehydration or not cooling down could be the cause here is an article with more common causes of high blood pressure hypertension
